Title,Actors,Year,Runtime_Minutes
Transformers: Dark of the Moon,"Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson, Josh Duhamel",2011,154
Juno,"Ellen Page, Michael Cera, Jennifer Garner, Jason Bateman",2007,96
A Hologram for the King,"Tom Hanks, Sarita Choudhury, Ben Whishaw,Alexander Black",2016,98
Money Monster,"George Clooney, Julia Roberts, Jack O'Connell,Dominic West",2016,98
The Other Woman,"Cameron Diaz, Leslie Mann, Kate Upton, Nikolaj Coster-Waldau",2014,109
Enchanted,"Amy Adams, Susan Sarandon, James Marsden, Patrick Dempsey",2007,107
The Intern,"Robert De Niro, Anne Hathaway, Rene Russo,Anders Holm",2015,121
Little Miss Sunshine,"Steve Carell, Toni Collette, Greg Kinnear, Abigail Breslin",2006,101
Bleed for This,"Miles Teller, Aaron Eckhart, Katey Sagal, Ciarán Hinds",2016,117
Clash of the Titans,"Sam Worthington, Liam Neeson, Ralph Fiennes,Jason Flemyng",2010,106
The Finest Hours,"Chris Pine, Casey Affleck, Ben Foster, Eric Bana",2016,117
Tron,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner",2010,125
The Hunger Games: Catching Fire,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Philip Seymour Hoffman",2013,146
All Good Things,"Ryan Gosling, Kirsten Dunst, Frank Langella, Lily Rabe",2010,101
Kickboxer: Vengeance,"Dave Bautista, Alain Moussi, Gina Carano, Jean-Claude Van Damme",2016,90
The Last Airbender,"Noah Ringer, Nicola Peltz, Jackson Rathbone,Dev Patel",2010,103
Sex Tape,"Jason Segel, Cameron Diaz, Rob Corddry, Ellie Kemper",2014,94
What to Expect When You're Expecting,"Cameron Diaz, Matthew Morrison, J. Todd Smith, Dennis Quaid",2012,110
Moneyball,"Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman",2011,133
Ghost Rider,"Nicolas Cage, Eva Mendes, Sam Elliott, Matt Long",2007,114
Unbroken,"Jack O'Connell, Miyavi, Domhnall Gleeson, Garrett Hedlund",2014,137
Immortals,"Henry Cavill, Mickey Rourke, John Hurt, Stephen Dorff",2011,110
Sunshine,"Cillian Murphy, Rose Byrne, Chris Evans, Michelle Yeoh",2007,107
Brave,"Kelly Macdonald,Billy Connolly, Emma Thompson, Julie Walters",2012,93
Män som hatar kvinnor,"Michael Nyqvist, Noomi Rapace, Ewa Fröling,Lena Endre",2009,152
Adoration,"Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville",2013,112
The Drop,"Tom Hardy, Noomi Rapace, James Gandolfini,Matthias Schoenaerts",2014,106
She's the Man,"Amanda Bynes, Laura Ramsey, Channing Tatum,Vinnie Jones",2006,105
Daddy's Home,"Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church",2015,96
Let Me In,"Kodi Smit-McPhee, Chloë Grace Moretz, Richard Jenkins, Cara Buono",2010,116
Never Back Down,"Sean Faris, Djimon Hounsou, Amber Heard, Cam Gigandet",2008,110
Grimsby,"Sacha Baron Cohen, Mark Strong, Rebel Wilson,Freddie Crowder",2016,83
Moon,"Sam Rockwell, Kevin Spacey, Dominique McElligott,Rosie Shaw",2009,97
Megamind,"Will Ferrell, Jonah Hill, Brad Pitt, Tina Fey",2010,95
Gangster Squad,"Sean Penn, Ryan Gosling, Emma Stone, Giovanni Ribisi",2013,113
Blood Father,"Mel Gibson, Erin Moriarty, Diego Luna, Michael Parks",2016,88
He's Just Not That Into You,"Jennifer Aniston, Jennifer Connelly, Morgan Lily,Trenton Rogers",2009,129
Kung Fu Panda 3,"Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie",2016,95
The Rise of the Krays,"Matt Vael, Simon Cotton, Kevin Leslie, Olivia Moyles",2015,110
Handsome Devil,"Fionn O'Shea, Nicholas Galitzine, Andrew Scott, Moe Dunford",2016,95
Winter's Bone,"Jennifer Lawrence, John Hawkes, Garret Dillahunt,Isaiah Stone",2010,100
Horrible Bosses,"Jason Bateman, Charlie Day, Jason Sudeikis, Steve Wiebe",2011,98
Mommy,"Anne Dorval, Antoine-Olivier Pilon, Suzanne Clément,Patrick Huard",2014,139
Hellboy II: The Golden Army,"Ron Perlman, Selma Blair, Doug Jones, John Alexander",2008,120
Beautiful Creatures,"Alice Englert, Viola Davis, Emma Thompson,Alden Ehrenreich",2013,124
Toni Erdmann,"Sandra Hüller, Peter Simonischek, Michael Wittenborn,Thomas Loibl",2016,162
The Lovely Bones,"Rachel Weisz, Mark Wahlberg, Saoirse Ronan, Susan Sarandon",2009,135
The Assassination of Jesse James by the Coward Robert Ford,"Brad Pitt, Casey Affleck, Sam Shepard, Mary-Louise Parker",2007,160
Don Jon,"Joseph Gordon-Levitt, Scarlett Johansson,Julianne Moore, Tony Danza",2013,90
Bastille Day,"Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly",2016,92
2307: Winter's Dream,"Paul Sidhu, Branden Coles, Arielle Holmes, Kelcey Watson",2016,101
Free State of Jones,"Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell",2016,139
Mr. Right,"Anna Kendrick, Sam Rockwell, Tim Roth, James Ransone",2015,95
The Secret Life of Walter Mitty,"Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn",2013,114
Dope,"Shameik Moore, Tony Revolori, Kiersey Clemons,Kimberly Elise",2015,103
Underworld Awakening,"Kate Beckinsale, Michael Ealy, India Eisley, Stephen Rea",2012,88
Antichrist,"Willem Dafoe, Charlotte Gainsbourg, Storm Acheche Sahlstrøm",2009,108
Friday the 13th,"Jared Padalecki, Amanda Righetti, Derek Mears,Danielle Panabaker",2009,97
Taken 3,"Liam Neeson, Forest Whitaker, Maggie Grace,Famke Janssen",2014,109
Total Recall,"Colin Farrell, Bokeem Woodbine, Bryan Cranston,Kate Beckinsale",2012,118
X-Men: The Last Stand,"Patrick Stewart, Hugh Jackman, Halle Berry, Famke Janssen",2006,104
The Escort,"Lyndsy Fonseca, Michael Doneger, Tommy Dewey,Bruce Campbell",2016,88
The Whole Truth,"Keanu Reeves, Renée Zellweger, Gugu Mbatha-Raw, Gabriel Basso",2016,93
Night at the Museum: Secret of the Tomb,"Ben Stiller, Robin Williams, Owen Wilson, Dick Van Dyke",2014,98
Love & Other Drugs,"Jake Gyllenhaal, Anne Hathaway, Judy Greer, Oliver Platt",2010,112
The Interview,"James Franco, Seth Rogen, Randall Park, Lizzy Caplan",2014,112
The Host,"Kang-ho Song, Hee-Bong Byun, Hae-il Park, Doona Bae",2006,120
Megan Is Missing,"Amber Perkins, Rachel Quinn, Dean Waite, Jael Elizabeth Steinmeyer",2011,85
WALL·E,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard",2008,98
Knocked Up,"Seth Rogen, Katherine Heigl, Paul Rudd, Leslie Mann",2007,129
Source Code,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga,Jeffrey Wright",2011,93
Lawless,"Tom Hardy, Shia LaBeouf, Guy Pearce, Jason Clarke",2012,116
Unfriended,"Heather Sossaman, Matthew Bohrer, Courtney Halverson, Shelley Hennig",2014,83
American Reunion,"Jason Biggs, Alyson Hannigan,Seann William Scott, Chris Klein",2012,113
The Pursuit of Happyness,"Will Smith, Thandie Newton, Jaden Smith, Brian Howe",2006,117
Relatos salvajes,"Darío Grandinetti, María Marull, Mónica Villa, Rita Cortese",2014,122
The Ridiculous 6,"Adam Sandler, Terry Crews, Jorge Garcia, Taylor Lautner",2015,119
Frantz,"Pierre Niney, Paula Beer, Ernst Stötzner, Marie Gruber",2016,113
Viral,"Sofia Black-D'Elia, Analeigh Tipton,Travis Tope, Michael Kelly",2016,85
Gran Torino,"Clint Eastwood, Bee Vang, Christopher Carley,Ahney Her",2008,116
Burnt,"Bradley Cooper, Sienna Miller, Daniel Brühl, Riccardo Scamarcio",2015,101
Tall Men,"Dan Crisafulli, Kay Whitney, Richard Garcia, Pat Cashman",2016,133
Sleeping Beauty,"Emily Browning, Rachael Blake, Ewen Leslie, Bridgette Barrett",2011,101
Vampire Academy,"Zoey Deutch, Lucy Fry, Danila Kozlovsky, Gabriel Byrne",2014,104
Sweeney Todd: The Demon Barber of Fleet Street,"Johnny Depp, Helena Bonham Carter, Alan Rickman,Timothy Spall",2007,116
Solace,"Anthony Hopkins, Jeffrey Dean Morgan, Abbie Cornish, Colin Farrell",2015,101
Insidious,"Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye",2010,103
Popstar: Never Stop Never Stopping,"Andy Samberg, Jorma Taccone,Akiva Schaffer, Sarah Silverman",2016,87
The Levelling,"Ellie Kendrick, David Troughton, Jack Holden,Joe Blakemore",2016,83
Public Enemies,"Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke",2009,140
Boyhood,"Ellar Coltrane, Patricia Arquette, Ethan Hawke,Elijah Smith",2014,165
Teenage Mutant Ninja Turtles,"Megan Fox, Will Arnett, William Fichtner, Noel Fisher",2014,101
Eastern Promises,"Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl, Josef Altin",2007,100
The Daughter,"Geoffrey Rush, Nicholas Hope, Sam Neill, Ewen Leslie",2015,96
Pineapple Express,"Seth Rogen, James Franco, Gary Cole, Danny McBride",2008,111
The First Time,"Dylan O'Brien, Britt Robertson, Victoria Justice, James Frecheville",2012,95
Gone Baby Gone,"Morgan Freeman, Ed Harris, Casey Affleck, Michelle Monaghan",2007,114
The Heat,"Sandra Bullock, Michael McDonald, Melissa McCarthy,Demián Bichir",2013,117
L'avenir,"Isabelle Huppert, André Marcon, Roman Kolinka,Edith Scob",2016,102
Anna Karenina,"Keira Knightley, Jude Law, Aaron Taylor-Johnson,Matthew Macfadyen",2012,129
Regression,"Ethan Hawke, David Thewlis, Emma Watson,Dale Dickey",2015,106
Ted 2,"Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Jessica Barth",2015,115
Pain & Gain,"Mark Wahlberg, Dwayne Johnson, Anthony Mackie,Tony Shalhoub",2013,129
Blood Diamond,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers",2006,143
Devil's Knot,"Colin Firth, Reese Witherspoon, Alessandro Nivola,James Hamrick",2013,114
Child 44,"Tom Hardy, Gary Oldman, Noomi Rapace, Joel Kinnaman",2015,137
The Hurt Locker,"Jeremy Renner, Anthony Mackie, Brian Geraghty,Guy Pearce",2008,131
Green Lantern,"Ryan Reynolds, Blake Lively, Peter Sarsgaard,Mark Strong",2011,114
War on Everyone,"Alexander Skarsgård, Michael Peña, Theo James, Tessa Thompson",2016,98
The Mist,"Thomas Jane, Marcia Gay Harden, Laurie Holden,Andre Braugher",2007,126
Escape Plan,"Sylvester Stallone, Arnold Schwarzenegger, 50 Cent, Vincent D'Onofrio",2013,115
"Love, Rosie","Lily Collins, Sam Claflin, Christian Cooke, Jaime Winstone",2014,102
The DUFF,"Mae Whitman, Bella Thorne, Robbie Amell, Allison Janney",2015,101
The Age of Shadows,"Byung-hun Lee, Yoo Gong, Kang-ho Song, Ji-min Han",2016,140
The Hunger Games: Mockingjay - Part 1,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",2014,123
We Need to Talk About Kevin,"Tilda Swinton, John C. Reilly, Ezra Miller, Jasper Newell",2011,112
Love & Friendship,"Kate Beckinsale, Chloë Sevigny, Xavier Samuel,Emma Greenwell",2016,90
The Mortal Instruments: City of Bones,"Lily Collins, Jamie Campbell Bower, Robert Sheehan,Jemima West",2013,130
Seven Pounds,"Will Smith, Rosario Dawson, Woody Harrelson,Michael Ealy",2008,123
The King's Speech,"Colin Firth, Geoffrey Rush, Helena Bonham Carter,Derek Jacobi",2010,118
Hunger,"Stuart Graham, Laine Megaw, Brian Milligan, Liam McMahon",2008,96
Jumper,"Hayden Christensen, Samuel L. Jackson, Jamie Bell,Rachel Bilson",2008,88
Toy Story 3,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",2010,103
Tinker Tailor Soldier Spy,"Gary Oldman, Colin Firth, Tom Hardy, Mark Strong",2011,122
Resident Evil: Retribution,"Milla Jovovich, Sienna Guillory, Michelle Rodriguez, Aryana Engineer",2012,96
Dear Zindagi,"Alia Bhatt, Shah Rukh Khan, Kunal Kapoor, Priyanka Moodley",2016,151
Genius,"Colin Firth, Jude Law, Nicole Kidman, Laura Linney",2016,104
Pompeii,"Kit Harington, Emily Browning, Kiefer Sutherland, Adewale Akinnuoye-Agbaje",2014,105
Life of Pi,"Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu",2012,127
Hachi: A Dog's Tale,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa,Sarah Roemer",2009,93
10 Years,"Channing Tatum, Rosario Dawson, Chris Pratt, Jenna Dewan Tatum",2011,100
I Origins,"Michael Pitt, Steven Yeun, Astrid Bergès-Frisbey, Brit Marling",2014,106
Live Free or Die Hard,"Bruce Willis, Justin Long, Timothy Olyphant, Maggie Q",2007,128
The Matchbreaker,"Wesley Elder, Christina Grimmie, Osric Chau, Olan Rogers",2016,94
Funny Games,"Naomi Watts, Tim Roth, Michael Pitt, Brady Corbet",2007,111
Ted,"Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale",2012,106
RED,"Bruce Willis, Helen Mirren, Morgan Freeman,Mary-Louise Parker",2010,111
Australia,"Nicole Kidman, Hugh Jackman, Shea Adams, Eddie Baroo",2008,165
Faster,"Dwayne Johnson, Billy Bob Thornton, Maggie Grace, Mauricio Lopez",2010,98
The Neighbor,"Josh Stewart, Bill Engvall, Alex Essoe, Ronnie Gene Blevins",2016,87
The Adjustment Bureau,"Matt Damon, Emily Blunt, Lisa Thoreson, Florence Kastriner",2011,106
The Hollars,"Sharlto Copley, Charlie Day, Richard Jenkins, Anna Kendrick",2016,88
The Judge,"Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton",2014,141
Closed Circuit,"Eric Bana, Rebecca Hall, Jim Broadbent, Ciarán Hinds",2013,96
Transformers: Revenge of the Fallen,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",2009,150
La tortue rouge,"Emmanuel Garijo, Tom Hudson, Baptiste Goy, Axel Devillers",2016,80
The Book of Life,"Diego Luna, Zoe Saldana, Channing Tatum, Ron Perlman",2014,95
Incendies,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel",2010,131
The Heartbreak Kid,"Ben Stiller, Michelle Monaghan,Malin Akerman, Jerry Stiller",2007,116
Happy Feet,"Elijah Wood, Brittany Murphy, Hugh Jackman, Robin Williams",2006,108
Entourage,"Adrian Grenier, Kevin Connolly, Jerry Ferrara, Kevin Dillon",2015,104
The Strangers,"Scott Speedman, Liv Tyler, Gemma Ward, Alex Fisher",2008,86
Noah,"Russell Crowe, Jennifer Connelly, Anthony Hopkins, Emma Watson",2014,138
Neighbors,"Seth Rogen, Rose Byrne, Zac Efron, Lisa Kudrow",2014,97
Nymphomaniac: Vol. II,"Charlotte Gainsbourg, Stellan Skarsgård, Willem Dafoe, Jamie Bell",2013,123
Wild,"Reese Witherspoon, Laura Dern, Gaby Hoffmann,Michiel Huisman",2014,115
Grown Ups,"Adam Sandler, Salma Hayek, Kevin James, Chris Rock",2010,102
Blair Witch,"James Allen McCune, Callie Hernandez, Corbin Reid, Brandon Scott",2016,89
The Karate Kid,"Jackie Chan, Jaden Smith, Taraji P. Henson, Wenwen Han",2010,140
Dark Shadows,"Johnny Depp, Michelle Pfeiffer, Eva Green, Helena Bonham Carter",2012,113
Friends with Benefits,"Mila Kunis, Justin Timberlake, Patricia Clarkson, Jenna Elfman",2011,109
The Illusionist,"Edward Norton, Jessica Biel, Paul Giamatti, Rufus Sewell",2006,110
The A-Team,"Liam Neeson, Bradley Cooper, Sharlto Copley,Jessica Biel",2010,117
The Guest,"Dan Stevens, Sheila Kelley, Maika Monroe, Joel David Moore",2014,100
The Internship,"Vince Vaughn, Owen Wilson, Rose Byrne, Aasif Mandvi",2013,119
Paul,"Simon Pegg, Nick Frost, Seth Rogen, Mia Stallard",2011,104
This Beautiful Fantastic,"Jessica Brown Findlay, Andrew Scott, Jeremy Irvine,Tom Wilkinson",2016,100
The Da Vinci Code,"Tom Hanks, Audrey Tautou, Jean Reno, Ian McKellen",2006,149
Mr. Church,"Eddie Murphy, Britt Robertson, Natascha McElhone, Xavier Samuel",2016,104
Hugo,"Asa Butterfield, Chloë Grace Moretz, Christopher Lee, Ben Kingsley",2011,126
The Blackcoat's Daughter,"Emma Roberts, Kiernan Shipka, Lauren Holly, Lucy Boynton",2015,93
Body of Lies,"Leonardo DiCaprio, Russell Crowe, Mark Strong,Golshifteh Farahani",2008,128
Knight of Cups,"Christian Bale, Cate Blanchett, Natalie Portman,Brian Dennehy",2015,118
The Mummy: Tomb of the Dragon Emperor,"Brendan Fraser, Jet Li, Maria Bello, Michelle Yeoh",2008,112
The Boss,"Melissa McCarthy, Kristen Bell, Peter Dinklage, Ella Anderson",2016,99
Hands of Stone,"Edgar Ramírez, Usher Raymond, Robert De Niro, Rubén Blades",2016,111
El secreto de sus ojos,"Ricardo Darín, Soledad Villamil, Pablo Rago,Carla Quevedo",2009,129
True Grit,"Jeff Bridges, Matt Damon, Hailee Steinfeld,Josh Brolin",2010,110
We Are Your Friends,"Zac Efron, Wes Bentley, Emily Ratajkowski, Jonny Weston",2015,96
A Million Ways to Die in the West,"Seth MacFarlane, Charlize Theron, Liam Neeson,Amanda Seyfried",2014,116
Only for One Night,"Brian White, Karrueche Tran, Angelique Pereira,Jessica Vanessa DeLeon",2016,86
Rules Don't Apply,"Lily Collins, Haley Bennett, Taissa Farmiga, Steve Tom",2016,127
Ouija: Origin of Evil,"Elizabeth Reaser, Lulu Wilson, Annalise Basso,Henry Thomas",2016,99
Percy Jackson: Sea of Monsters,"Logan Lerman, Alexandra Daddario, Brandon T. Jackson, Nathan Fillion",2013,106
Fracture,"Anthony Hopkins, Ryan Gosling, David Strathairn,Rosamund Pike",2007,113
Oculus,"Karen Gillan, Brenton Thwaites, Katee Sackhoff,Rory Cochrane",2013,104
In Bruges,"Colin Farrell, Brendan Gleeson, Ciarán Hinds,Elizabeth Berrington",2008,107
This Means War,"Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger",2012,103
Lída Baarová,"Tatiana Pauhofová, Karl Markovics, Gedeon Burkhard,Simona Stasová",2016,106
The Road,"Viggo Mortensen, Charlize Theron, Kodi Smit-McPhee,Robert Duvall",2009,111
Lavender,"Abbie Cornish, Dermot Mulroney, Justin Long,Diego Klattenhoff",2016,92
Deuces,"Larenz Tate, Meagan Good, Rotimi, Rick Gonzalez",2016,87
Conan the Barbarian,"Jason Momoa, Ron Perlman, Rose McGowan,Stephen Lang",2011,113
The Fighter,"Mark Wahlberg, Christian Bale, Amy Adams,Melissa Leo",2010,116
August Rush,"Freddie Highmore, Keri Russell, Jonathan Rhys Meyers, Terrence Howard",2007,114
Chef,"Jon Favreau, Robert Downey Jr., Scarlett Johansson,Dustin Hoffman",2014,114
Eye in the Sky,"Helen Mirren, Aaron Paul, Alan Rickman, Barkhad Abdi",2015,102
Eagle Eye,"Shia LaBeouf, Michelle Monaghan, Rosario Dawson,Michael Chiklis",2008,118
The Purge,"Ethan Hawke, Lena Headey, Max Burkholder,Adelaide Kane",2013,85
PK,"Aamir Khan, Anushka Sharma, Sanjay Dutt,Boman Irani",2014,153
Ender's Game,"Harrison Ford, Asa Butterfield, Hailee Steinfeld, Abigail Breslin",2013,114
Indiana Jones and the Kingdom of the Crystal Skull,"Harrison Ford, Cate Blanchett, Shia LaBeouf,Karen Allen",2008,122
Paper Towns,"Nat Wolff, Cara Delevingne, Austin Abrams, Justice Smith",2015,109
High-Rise,"Tom Hiddleston, Jeremy Irons, Sienna Miller, Luke Evans",2015,119
Quantum of Solace,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench",2008,106
The Assignment,"Sigourney Weaver, Michelle Rodriguez, Tony Shalhoub,Anthony LaPaglia",2016,95
How to Train Your Dragon,"Jay Baruchel, Gerard Butler,Christopher Mintz-Plasse, Craig Ferguson",2010,98
Lady in the Water,"Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright, Bob Balaban",2006,110
The Fountain,"Hugh Jackman, Rachel Weisz, Sean Patrick Thomas, Ellen Burstyn",2006,96
Cars 2,"Owen Wilson, Larry the Cable Guy,Michael Caine, Emily Mortimer",2011,106
31,"Malcolm McDowell, Richard Brake, Jeff Daniel Phillips,Sheri Moon Zombie",2016,102
Final Girl,"Abigail Breslin, Wes Bentley, Logan Huffman,Alexander Ludwig",2015,90
Chalk It Up,"Maddy Curley, John DeLuca, Nikki SooHoo, Drew Seeley",2016,90
The Man Who Knew Infinity,"Dev Patel, Jeremy Irons, Malcolm Sinclair, Raghuvir Joshi",2015,108
Unknown,"Liam Neeson, Diane Kruger, January Jones,Aidan Quinn",2011,113
Self/less,"Ryan Reynolds, Natalie Martinez, Matthew Goode,Ben Kingsley",2015,117
Mr. Brooks,"Kevin Costner, Demi Moore, William Hurt, Dane Cook",2007,120
Tramps,"Callum Turner, Grace Van Patten, Michal Vondel, Mike Birbiglia",2016,82
Before We Go,"Chris Evans, Alice Eve, Emma Fitzpatrick, John Cullum",2014,95
Captain Phillips,"Tom Hanks, Barkhad Abdi, Barkhad Abdirahman,Catherine Keener",2013,134
The Secret Scripture,"Rooney Mara, Eric Bana, Theo James, Aidan Turner",2016,108
Max Steel,"Ben Winchell, Josh Brener, Maria Bello, Andy Garcia",2016,92
Hotel Transylvania 2,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James",2015,89
Hancock,"Will Smith, Charlize Theron, Jason Bateman, Jae Head",2008,92
Sisters,"Amy Poehler, Tina Fey, Maya Rudolph, Ike Barinholtz",2015,118
The Family,"Robert De Niro, Michelle Pfeiffer, Dianna Agron, John D'Leo",2013,111
Zack and Miri Make a Porno,"Seth Rogen, Elizabeth Banks, Craig Robinson, Gerry Bednob",2008,101
Ma vie de Courgette,"Gaspard Schlatter, Sixtine Murat, Paulin Jaccoud,Michel Vuillermoz",2016,66
Man on a Ledge,"Sam Worthington, Elizabeth Banks, Jamie Bell, Mandy Gonzalez",2012,102
No Strings Attached,"Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes",2011,108
Rescue Dawn,"Christian Bale, Steve Zahn, Jeremy Davies, Zach Grenier",2006,120
Despicable Me 2,"Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove",2013,98
A Walk Among the Tombstones,"Liam Neeson, Dan Stevens, David Harbour, Boyd Holbrook",2014,114
The World's End,"Simon Pegg, Nick Frost, Martin Freeman, Rosamund Pike",2013,109
Yoga Hosers,"Lily-Rose Depp, Harley Quinn Smith, Johnny Depp,Adam Brody",2016,88
Seven Psychopaths,"Colin Farrell, Woody Harrelson, Sam Rockwell,Christopher Walken",2012,110
Beowulf,"Ray Winstone, Crispin Glover, Angelina Jolie,Robin Wright",2007,115
Jack Ryan: Shadow Recruit,"Chris Pine, Kevin Costner, Keira Knightley,Kenneth Branagh",2014,105
1408,"John Cusack, Samuel L. Jackson, Mary McCormack, Paul Birchard",2007,104
The Gambler,"Mark Wahlberg, Jessica Lange, John Goodman, Brie Larson",2014,111
Prince of Persia: The Sands of Time,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley,Alfred Molina",2010,116
The Spectacular Now,"Miles Teller, Shailene Woodley, Kyle Chandler,Jennifer Jason Leigh",2013,95
A United Kingdom,"David Oyelowo, Rosamund Pike, Tom Felton, Jack Davenport",2016,111
USS Indianapolis: Men of Courage,"Nicolas Cage, Tom Sizemore, Thomas Jane,Matt Lanter",2016,128
Turbo Kid,"Munro Chambers, Laurence Leboeuf, Michael Ironside, Edwin Wright",2015,93
Mama,"Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier, Isabelle Nélisse",2013,100
Orphan,"Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman, CCH Pounder",2009,123
To Rome with Love,"Woody Allen, Penélope Cruz, Jesse Eisenberg, Ellen Page",2012,112
Fantastic Mr. Fox,"George Clooney, Meryl Streep, Bill Murray, Jason Schwartzman",2009,87
Inside Man,"Denzel Washington, Clive Owen, Jodie Foster,Christopher Plummer",2006,129
I.T.,"Pierce Brosnan, Jason Barry, Karen Moskow, Kai Ryssdal",2016,95
127 Hours,"James Franco, Amber Tamblyn, Kate Mara, Sean Bott",2010,94
Annabelle,"Ward Horton, Annabelle Wallis, Alfre Woodard,Tony Amendola",2014,99
Wolves at the Door,"Katie Cassidy, Elizabeth Henstridge, Adam Campbell, Miles Fisher",2016,73
Suite Française,"Michelle Williams, Kristin Scott Thomas, Margot Robbie,Eric Godon",2014,107
The Imaginarium of Doctor Parnassus,"Christopher Plummer, Lily Cole, Heath Ledger,Andrew Garfield",2009,123
G.I. Joe: The Rise of Cobra,"Dennis Quaid, Channing Tatum, Marlon Wayans,Adewale Akinnuoye-Agbaje",2009,118
Christine,"Rebecca Hall, Michael C. Hall, Tracy Letts, Maria Dizzia",2016,119
Man Down,"Shia LaBeouf, Jai Courtney, Gary Oldman, Kate Mara",2015,90
Crawlspace,"Michael Vartan, Erin Moriarty, Nadine Velazquez,Ronnie Gene Blevins",2016,88
Shut In,"Naomi Watts, Charlie Heaton, Jacob Tremblay,Oliver Platt",2016,91
The Warriors Gate,"Mark Chao, Ni Ni, Dave Bautista, Sienna Guillory",2016,108
Grindhouse,"Kurt Russell, Rose McGowan, Danny Trejo, Zoë Bell",2007,191
Disaster Movie,"Carmen Electra, Vanessa Lachey,Nicole Parker, Matt Lanter",2008,87
Rocky Balboa,"Sylvester Stallone, Antonio Tarver, Milo Ventimiglia, Burt Young",2006,102
Diary of a Wimpy Kid: Dog Days,"Zachary Gordon, Robert Capron, Devon Bostick,Steve Zahn",2012,94
Jane Eyre,"Mia Wasikowska, Michael Fassbender, Jamie Bell, Su Elliot",2011,120
Fool's Gold,"Matthew McConaughey, Kate Hudson, Donald Sutherland, Alexis Dziena",2008,112
The Dictator,"Sacha Baron Cohen, Anna Faris, John C. Reilly, Ben Kingsley",2012,83
The Loft,"Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet",2014,108
Bacalaureat,"Adrian Titieni, Maria-Victoria Dragus, Lia Bugnar,Malina Manovici",2016,128
You Don't Mess with the Zohan,"Adam Sandler, John Turturro, Emmanuelle Chriqui,Nick Swardson",2008,113
Exposed,"Ana de Armas, Keanu Reeves, Christopher McDonald, Mira Sorvino",2016,102
Maudie,"Ethan Hawke, Sally Hawkins, Kari Matchett, Zachary Bennett",2016,115
Horrible Bosses 2,"Jason Bateman, Jason Sudeikis, Charlie Day, Jennifer Aniston",2014,108
A Bigger Splash,"Tilda Swinton, Matthias Schoenaerts, Ralph Fiennes, Dakota Johnson",2015,125
Melancholia,"Kirsten Dunst, Charlotte Gainsbourg, Kiefer Sutherland, Alexander Skarsgård",2011,135
The Princess and the Frog,"Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos",2009,97
Unstoppable,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee",2010,98
Flight,"Denzel Washington, Nadine Velazquez, Don Cheadle, John Goodman",2012,138
Home,"Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez",2015,94
La migliore offerta,"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks,Donald Sutherland",2013,131
Mean Dreams,"Sophie Nélisse, Josh Wiggins, Joe Cobden, Bill Paxton",2016,108
42,"Chadwick Boseman, T.R. Knight, Harrison Ford,Nicole Beharie",2013,128
21,"Jim Sturgess, Kate Bosworth, Kevin Spacey, Aaron Yoo",2008,123
